"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-80-2652535364-2169709536-2857650723-2622804123-1107741775","C:\Windows\ServiceProfiles\SQLTELEMETRY","IT002739","NT SERVICE\SQLTELEMETRY",""
"S-1-5-80-1835761534-3291552707-3889884660-1303793167-3990676079","C:\Windows\ServiceProfiles\PBIEgwService","IT002739","NT SERVICE\PBIEgwService",""
"S-1-5-80-1769454264-913345921-3353601818-1608649803-1344048737","C:\Windows\ServiceProfiles\SQLTELEMETRY$MSSQLSERVER01","IT002739","NT SERVICE\SQLTELEMETRY$MSSQLSERVER01",""
"S-1-5-80-1550792319-1592985073-1250829826-3142404629-2952326142","C:\Windows\ServiceProfiles\MSSQL$MSSQLSERVER02","IT002739","NT SERVICE\MSSQL$MSSQLSERVER02",""
"S-1-5-21-990473482-3039681256-539401488-12231","C:\Users\i2101","IT002739","INNOVACCER\I2101",""
"S-1-5-21-990473482-3039681256-539401488-11790","C:\Users\skadm2034","IT002739","INNOVACCER\skadm2034",""
"S-1-5-21-990473482-3039681256-539401488-11605","C:\Users\i1807","IT002759","INNOVACCER\I1807",""
"S-1-5-21-990473482-3039681256-539401488-12290","C:\Users\I2138","IT002762","INNOVACCER\I2138",""
"S-1-5-21-990473482-3039681256-539401488-12284","C:\Users\I2135","IT002763","INNOVACCER\I2135",""
"S-1-5-21-990473482-3039681256-539401488-12291","C:\Users\I2139","IT002764","INNOVACCER\I2139",""
"S-1-5-21-990473482-3039681256-539401488-12719","C:\Users\I2451","IT002775","INNOVACCER\I2451",""
"S-1-5-21-990473482-3039681256-539401488-12259","C:\Users\I2167","IT002782","INNOVACCER\I2167",""
"S-1-5-21-990473482-3039681256-539401488-12397","C:\Users\I2332","IT002793","INNOVACCER\I2332",""
"S-1-5-21-990473482-3039681256-539401488-12449","C:\Users\I2339","IT002798","INNOVACCER\I2339",""
"S-1-5-21-990473482-3039681256-539401488-12492","C:\Users\I2358","IT002810","INNOVACCER\I2358",""
"S-1-5-21-990473482-3039681256-539401488-12520","C:\Users\i2364","IT002813","INNOVACCER\I2364",""
"S-1-5-21-990473482-3039681256-539401488-1602","C:\Users\I0382","IT002849","INNOVACCER\I0382",""
"S-1-5-21-990473482-3039681256-539401488-12665","C:\Users\I2428","IT002870","INNOVACCER\I2428",""
"S-1-5-21-990473482-3039681256-539401488-11874","C:\Users\I1916","IT002870","INNOVACCER\I1916",""
"S-1-5-21-990473482-3039681256-539401488-12667","C:\Users\I2421.INNOVACCER","IT002931","S-1-5-21-990473482-3039681256-539401488-12667",""
"S-1-5-21-990473482-3039681256-539401488-12771","C:\Users\i2491","IT002958","INNOVACCER\I2491",""
"S-1-5-21-990473482-3039681256-539401488-12334","C:\Users\i2177","IT003007","INNOVACCER\I2177",""
"S-1-5-21-990473482-3039681256-539401488-9805","C:\Users\I1144","IT003017","INNOVACCER\I1144",""
"S-1-5-21-990473482-3039681256-539401488-6020","C:\Users\asadm753","IT003063","INNOVACCER\ASADM753",""
"S-1-5-21-990473482-3039681256-539401488-6005","C:\Users\I0753","IT003063","INNOVACCER\I0753",""
"S-1-5-21-990473482-3039681256-539401488-12682","C:\Users\I2439","IT003068","INNOVACCER\I2439",""
"S-1-5-21-990473482-3039681256-539401488-12831","C:\Users\Jump.cloud","IT003234","INNOVACCER\jump.cloud",""
"S-1-5-21-990473482-3039681256-539401488-12810","C:\Users\S-1-5-21-990473482-3039681256-539401488-12810.INNOVACCER","IT003234","INNOVACCER\jc.test",""
"S-1-5-21-990473482-3039681256-539401488-12093","C:\Users\I2011","IT003234","INNOVACCER\I2011",""
"S-1-5-21-990473482-3039681256-539401488-9123","C:\Users\I0812","IT003252","INNOVACCER\I0812",""
"S-1-5-21-990473482-3039681256-539401488-12653","C:\Users\I2415","IT003312","INNOVACCER\I2415",""
"S-1-5-21-990473482-3039681256-539401488-12220","C:\Users\I2090","IT003317","INNOVACCER\I2090",""
"S-1-5-80-1835761534-3291552707-3889884660-1303793167-3990676079","C:\Windows\ServiceProfiles\PBIEgwService","IT003366","NT SERVICE\PBIEgwService",""
"S-1-5-21-990473482-3039681256-539401488-5756","C:\Users\I0633","IT003366","INNOVACCER\I0633",""
"S-1-5-21-990473482-3039681256-539401488-1740","C:\Users\Lovin.Sharma.INNOVACCER","IT2190","S-1-5-21-990473482-3039681256-539401488-1740",""
"S-1-5-80-4276456064-3849056026-3905920181-1377520871-201793679","C:\WINDOWS\ServiceProfiles\MSSQL$MSSQLSERVER01","USIT0192","NT SERVICE\MSSQL$MSSQLSERVER01",""
"S-1-5-80-4221218650-3734044757-384929471-3242703948-1535012119","C:\WINDOWS\ServiceProfiles\MSSQL$MSSQLSERVER1","USIT0192","NT SERVICE\MSSQL$MSSQLSERVER1",""
"S-1-5-80-3880718306-3832830129-1677859214-2598158968-1052248003","C:\WINDOWS\ServiceProfiles\MSSQLSERVER","USIT0192","NT SERVICE\MSSQLSERVER",""
"S-1-5-80-2939209378-414407530-3848713299-372682877-2794504502","C:\WINDOWS\ServiceProfiles\SQLAgent$MSSQLSERVER01","USIT0192","NT SERVICE\SQLAgent$MSSQLSERVER01",""
"S-1-5-80-2652535364-2169709536-2857650723-2622804123-1107741775","C:\WINDOWS\ServiceProfiles\SQLTELEMETRY","USIT0192","NT SERVICE\SQLTELEMETRY",""
"S-1-5-80-2153795431-3439670559-4211332317-2177827265-2821837002","C:\WINDOWS\ServiceProfiles\SQLTELEMETRY$MSSQLSERVER1","USIT0192","NT SERVICE\SQLTELEMETRY$MSSQLSERVER1",""
"S-1-5-80-1769454264-913345921-3353601818-1608649803-1344048737","C:\WINDOWS\ServiceProfiles\SQLTELEMETRY$MSSQLSERVER01","USIT0192","NT SERVICE\SQLTELEMETRY$MSSQLSERVER01",""
